Agent Name,Date,Name,Number,Adress,e-mail ID,Product,product price,No of product,Remarks,sales channel
Vanditha,2025-03-25,Aaina Khanna,5744280029,Tamil Nadu,ryan11@kannan.com,Product 4,2499,2,Interested,Retail Partner
Vanditha,2025-03-11,Badal Mander,6975300061,Delhi,cvarma@baria.com,Product 4,2499,5,Purchased,Mobile App
Vanditha,2025-04-18,Hrishita Dhawan,5616464625,Maharashtra,maninakul@hotmail.com,Product 4,2499,4,Not Interested,Retail Partner
Vanditha,2025-03-01,Anahi Mani,1181851741,Gujarat,wabletushar@krish.net,Product 4,2499,2,Interested,Mobile App
Vanditha,2025-03-31,Rania Handa,8688940138,Andhra Pradesh,divitcheema@chacko.com,Product 4,2499,1,Not Interested,Mobile App
Vanditha,2025-04-22,Renee Comar,5461669353,West Bengal,majumdarhiran@gopal.org,Product 3,1999,2,Purchased,Offline
Vanditha,2025-03-21,Prerak Shankar,8168716760,Maharashtra,gupadhyay@chaudhuri.info,Product 4,2499,3,Yet to Purchase,Retail Partner
Vanditha,2025-03-03,Bhamini Dhar,0335139201,Punjab,yuvraj-95@hotmail.com,Product 1,999,1,Interested,Retail Partner
Vanditha,2025-03-01,Vritika Bali,2032694939,Delhi,veerdayal@hotmail.com,Product 5,999,5,Purchased,Online
Vanditha,2025-04-15,Zoya Basu,8959167024,Karnataka,kartik66@talwar.com,Product 2,1499,1,Not Interested,Online
Vanditha,2025-03-26,Ivan Chadha,8383356412,Punjab,rashawarrior@salvi.org,Product 5,999,5,Yet to Purchase,Offline
Vanditha,2025-03-08,Diya Sodhi,6794964324,Karnataka,dhilloncharvi@gmail.com,Product 5,999,4,Purchased,Retail Partner
Vanditha,2025-03-18,Charvi Basu,4466933175,West Bengal,deolprerak@yahoo.com,Product 2,1499,1,Purchased,Retail Partner
Vanditha,2025-04-16,Himmat Dani,8163790564,Gujarat,mamootyhora@chopra.com,Product 3,1999,3,Not Interested,Mobile App
Vanditha,2025-04-14,Madhav Rau,8685852468,Karnataka,kavya94@gmail.com,Product 1,999,4,Purchased,Retail Partner
Vanditha,2025-03-09,Shamik Sheth,6391140287,Punjab,itata@hotmail.com,Product 4,2499,3,Not Interested,Mobile App
Vanditha,2025-04-12,Drishya Gaba,1037842698,Gujarat,vardaniya49@gmail.com,Product 3,1999,1,Yet to Purchase,Online
Vanditha,2025-02-27,Azad Desai,8198811451,Punjab,ckota@yahoo.com,Product 4,2499,3,Not Interested,Mobile App
Vanditha,2025-04-21,Aarush Bala,6299362726,Andhra Pradesh,vardaniyadutta@gmail.com,Product 3,1999,3,Interested,Offline
Vanditha,2025-04-15,Himmat Dhaliwal,1561728598,Kerala,ovarty@anand-randhawa.com,Product 1,999,2,Not Interested,Retail Partner
Vanditha,2025-03-30,Nitya Dugal,6058987416,Rajasthan,korpalneysa@hotmail.com,Product 3,1999,1,Interested,Mobile App
Vanditha,2025-03-19,Shanaya Kakar,9970375978,Maharashtra,wallajhanvi@yahoo.com,Product 1,999,5,Not Interested,Mobile App
Vanditha,2025-03-14,Trisha Sandhu,4682246323,West Bengal,dugaranahita@hotmail.com,Product 5,999,4,Interested,Mobile App
Firdous,2025-03-15,Zeeshan Manda,5701158993,Maharashtra,drishya55@bhatia-sastry.com,Product 2,1499,5,Not Interested,Mobile App
Firdous,2025-04-07,Myra Keer,0401327480,Kerala,toorzoya@yahoo.com,Product 5,999,5,Not Interested,Offline
Firdous,2025-04-22,Samaira Sathe,3568671877,Kerala,venkataramanyashvi@gmail.com,Product 5,999,3,Interested,Retail Partner
Firdous,2025-03-10,Tanya Bahl,9769523295,Tamil Nadu,divyanshverma@saha.com,Product 2,1499,2,Yet to Purchase,Retail Partner
Firdous,2025-03-06,Zaina Bhardwaj,2538721605,Gujarat,pgandhi@hotmail.com,Product 5,999,4,Interested,Mobile App
Firdous,2025-04-18,Zara Mahajan,6641141495,Punjab,chandraheer@sarma-atwal.org,Product 4,2499,1,Not Interested,Offline
Firdous,2025-04-09,Shamik Lanka,8477844207,Punjab,jivinsodhi@yahoo.com,Product 3,1999,5,Not Interested,Offline
Firdous,2025-03-28,Onkar Ravel,4961281294,Gujarat,hissac@buch-banerjee.biz,Product 2,1499,3,Purchased,Retail Partner
Firdous,2025-04-20,Faiyaz Kashyap,3985057190,West Bengal,solankiryan@hotmail.com,Product 2,1499,3,Not Interested,Retail Partner
Firdous,2025-04-23,Tiya Jani,8360880750,Rajasthan,badalishita@viswanathan.com,Product 1,999,5,Not Interested,Mobile App
Firdous,2025-03-12,Darshit Bumb,7822790513,Rajasthan,obadami@gmail.com,Product 4,2499,4,Purchased,Offline
Firdous,2025-03-01,Kiara Sachar,9129775286,Andhra Pradesh,kartikwalia@yahoo.com,Product 3,1999,2,Interested,Mobile App
Firdous,2025-04-16,Misha Virk,4676253847,Delhi,nityasekhon@hotmail.com,Product 5,999,5,Yet to Purchase,Offline
Firdous,2025-03-14,Oorja Chopra,4375857507,Andhra Pradesh,dadadhanush@shan.com,Product 2,1499,5,Not Interested,Online
Firdous,2025-03-29,Manjari Dave,5352903827,Gujarat,datenitya@comar.info,Product 3,1999,1,Yet to Purchase,Retail Partner
Firdous,2025-02-28,Yashvi Datta,6047788144,Andhra Pradesh,bhallakavya@cheema.com,Product 3,1999,1,Yet to Purchase,Mobile App
Firdous,2025-04-09,Urvi Rama,8040643428,Karnataka,onkarbehl@kamdar.info,Product 2,1499,5,Not Interested,Online
Firdous,2025-04-16,Rhea Borah,1528592240,Karnataka,korpalyuvaan@hotmail.com,Product 3,1999,5,Interested,Retail Partner
Firdous,2025-03-09,Kiaan Bala,3543835664,Delhi,romil00@kala.com,Product 3,1999,2,Not Interested,Offline
Firdous,2025-04-07,Parinaaz Kapadia,2149887909,Maharashtra,gargyuvaan@rana.com,Product 4,2499,5,Yet to Purchase,Retail Partner
Firdous,2025-03-23,Jayesh Bhatt,6712116758,Kerala,kapadiadharmajan@dutta.com,Product 4,2499,3,Not Interested,Retail Partner
Firdous,2025-04-21,Heer Sur,5346144322,Tamil Nadu,sairagrewal@gmail.com,Product 5,999,5,Yet to Purchase,Online
Firdous,2025-04-08,Samaira Tata,1140858530,Andhra Pradesh,sdeo@gmail.com,Product 2,1499,4,Yet to Purchase,Retail Partner
Firdous,2025-02-27,Hrishita Gour,5001020995,Karnataka,sarkartaimur@gmail.com,Product 2,1499,4,Yet to Purchase,Retail Partner
Firdous,2025-03-15,Kartik Chandra,4824218247,Andhra Pradesh,otara@gmail.com,Product 5,999,5,Interested,Mobile App
